,0,1
Корсаков,33526,"Корсаков — портовый город в России, административный центр Корсаковского городского округа Сахалинской области."
Касимов,33494,"Касимов (тат. Ханкирмән, до 1376 года — Городец Мещёрский, до 1471 года — Новый Низовой Город) — город в России, административный центр Касимовского района Рязанской области, в состав которого не входит, являясь городом областного значения, образует муниципальное образование городской округ город Касимов.[2]"
Шумерля,33412,Шумерля — город в Чувашской Республике Российской Федерации.
Муравленко,33401,Муравленко — город (с 1990 года) в Ямало-Ненецком автономном округе России.
Чернушка,33275,"Чернушка — город (с 1966 года) на юге Пермского края в Российской Федерации. Административный центр Чернушинского муниципального района, с 1 января 2006 года после реформы местного самоуправления является также административным центром Чернушинского городского поселения."
Сосновоборск,33090,"Сосновоборск — город в России, в Красноярском крае. Образует городской округ город Сосновоборск. Пригород Красноярска; позиционируется как спальный район города."
Кушва,33027,"Кушва (коми-пермяцкий — «гнилая вода») — город (с 1925) в России, областного подчинения Свердловской области к северо-западу от Екатеринбурга и Нижнего Тагила. Административный центр Кушвинского городского округа."
Кондопога,32978,"Кондопога[3][4] (карел. Kondupohju, фин. Kontupohja, вепс. Kondopog) — город в Республике Карелия Российской Федерации. Административный центр Кондопожского района, образует Кондопожское городское поселение."
Артёмовский,32878,"Артёмовский — город в Свердловской области России, административный центр Артёмовского городского округа."
Шатура,32836,Шатура — город (с 1936 года) областного подчинения на востоке Московской области в России. Вместе с административной территорией образует административно-территориальную единицу (вместо бывшего Шатурского района)[3]. В рамках муниципального устройства с 10 марта 2017 года является также центром муниципального образования городской округ Шатура (бывшего Шатурского муниципального района)[4].
Благодарный,32736,"Благодарный — город[3], административный центр Благодарненского района (городского округа) Ставропольского края."
Балтийск,32670,"Балтийск (до 1946 года — Пиллау, нем. Pillau; польск. Piława; лит. Piliava — Пилява) — город в Калининградской области Российской Федерации. С 2008 года — административный центр Балтийского района."
Нововоронеж,32635,Нововоронеж — город в Воронежской области России. Образует административно-территориальную единицу и муниципальное образование городской округ город Нововоронеж с единственным населённым пунктом в его составе.[2][3]
Нурлат,32600,"Нурлат (тат.  Норлат), ранее Нурлат-Октябрьский — город (с 1961) в Республике Татарстан Российской Федерации, административный центр Нурлатского района."
Зима,32522,"Зима (бур. Зэмэ) — город в России, административный центр Зиминского района Иркутской области. Образует городской округ Зиминское городское муниципальное образование."
Котельники,32347,"Котельники — город областного подчинения (до 2004 года — посёлок городского типа[4], до 2007 года — в Люберецком районе[5]) в Московской области, городской округ. Граничит с городами Москвой, Дзержинским и Люберцами. Грузовая железнодорожная станция (Яничкино) на линии Люберцы — Дзержинский."
Приморско-Ахтарск,32253,"Приморско-Ахтарск[2] — город в Краснодарском крае. Административный центр Приморско-Ахтарского района, а также Приморско-Ахтарского городского поселения."
Старая Русса,32235,Старая Русса — город (с 1167[2]) в Новгородской области России. Является городом областного значения[3] и административным центром Старорусского муниципального района и городского поселения Муниципальное образование «Город Старая Русса». До 1552 года назывался Руса[4]. 6 апреля 2015 года указом Президента России Владимира Путина городу присвоено почётное звание — Город воинской славы.
Инта,32021,Инта — город в Республике Коми Российской Федерации. Образует городской округ «Инта».
Аша,31916,Аша —  город в Ашинском районе Челябинской области России. Административный центр Ашинского района и Ашинского городского поселения. Население составляет 29 946[2] чел. (2017).
Богородицк,31897,"Богородицк — город (с 1777[3]) в России, административный центр Богородицкого района Тульской области. Образует одноимённое муниципальное образование город Богородицк со статусом городского поселения как единственный населённый пункт в его составе[4]."
Котовск,31851,Котовск — город (с 1940[2]) в Тамбовской области России.
Ростов,31791,"Ростов — город (с 862[4]) в Российской Федерации, районный центр Ярославской области, административный центр Ростовского района. Расположен в 53 км к юго-западу от Ярославля, на берегу озера Неро. Площадь города составляет 32,0 км²[1], население 31 039[2] человек (2017 год)."
Богданович,31752,"Богданович — город в Свердловской области России, центр городского округа Богданович, согласно муниципальному делению, и Богдановичского района, согласно административно-территориальному устройству области."
Гагарин,31721,"Гагарин (до 1968 года Гжатск[2]) — город в России, административный центр Гагаринского района Смоленской области и Гагаринского городского поселения."
Нарткала,31679,Нарткала (кабард.-черк. Нарткъалэ) — город в Урванском районе Кабардино-Балкарской Республики. Четвёртый по численности населения город республики.
Великий Устюг,31664,"Великий Устюг (прежнее название Устюг) — город в России, административный центр Великоустюгского района Вологодской области. Один из древнейших городов на Русском Севере, сохранивший богатое культурное наследие. Располагается в 450 км к северо-востоку от Вологды на левом берегу реки Сухоны против слияния её с рекой Юг, на судоходных линиях этих рек и Северной Двины. С 1999 года объявлен родиной всероссийского Деда Мороза. Является популярным центром семейного туризма[2]."
Маркс,31535,"Маркс, до 1915 года Екатериненштадт (нем. Katharinenstadt), также Баронск, в 1915—1920 годах Екатериноград[3], в 1920—1942 годах Марксштадт (нем. Marxstadt) — город (с 1918 года) в России, расположенный на левом берегу Волги, в 60 км к северо-востоку от Саратова, административный центр Марксовского муниципального района Саратовской области. Образует одноимённое муниципальное образование город Маркс со статусом городского поселения как единственный населённый пункт в его составе."
Можайск,31388,"Можайск — город областного подчинения в России, на западе Московской области, административный центр Можайского городского округа. Носит звание города воинской славы (2012)."
Борзя,31376,"Борзя — город (с 1950 года) в России, административный центр Борзинского района Забайкальского края и городского поселения «Борзинское»."
Ликино-Дулёво,31331,"Ликино-Дулёво — город областного подчинения на востоке Московской области, образует одноимённый городской округ."
Дюртюли,31272,"Дюртюли (башк. Дүртөйлө  слушать) — город в России, административный центр Дюртюлинского района Республики Башкортостан, образует городское поселение город Дюртюли."
Петровск,31158,"Петровск — город (с 1780) в России, административный центр Петровского района Саратовской области. Образует одноимённое муниципальное образование город Петровск со статусом городского поселения как единственный населённый пункт в его составе[3]."
Карабулак,31081,"Карабулак (ингуш. Карабулак[7]) — город в Республике Ингушетия Российской Федерации. Город республиканского значения, который образует одноимённое муниципальное образование город Карабулак со статусом городского округа как единственный населённый пункт в его составе[8]."
Малгобек,31076,"Малгобек (ингуш. МагӀалбике[6], чеч. Малхабек[7]) — город в Республике Ингушетия Российской Федерации. Административный центр Малгобекского района, в состав которого не входит. Город республиканского значения, который образует одноимённое муниципальное образование город Малгобек со статусом городского округа как единственный населённый пункт в его составе[8]."
Удомля,31048,"Удомля — город окружного значения[2], административный центр Удомельского городского округа Тверской области России. Город-спутник Калининской АЭС."
Холмск,30936,"Холмск (до 1905 — Маука, с 1905 по 1946 — Маока; яп. 真岡) — город на Дальнем Востоке России, административный центр Холмского городского округа Сахалинской области. Расположен на юго-западном побережье острова Сахалин, на берегу залива Невельского Татарского пролива Японского моря, в 83 км к западу от Южно-Сахалинска. Население — 27 954[1] чел. (2018), площадь 32 км². Третий по численности населения и второй по экономическому значению город Сахалинской области."
Кудымкар,30711,"Кудымкар (коми-перм. Кудымкар) — город в Пермском крае России, административный центр Коми-Пермяцкого округа. Имеет статус города краевого значения и городского округа."
Городец,30699,"Городец — город (с 1171) в Нижегородской области России, административный центр Городецкого муниципального района[2]."
Дагестанские Огни,30671,"Дагестанские Огни — город на юге России, в республике Дагестан. Город республиканского значения и образует городской округ город Дагестанские Огни."
Усть-Джегута,30602,Усть-Джегута — город в Карачаево-Черкесской республике. Административный центр Усть-Джегутинского района.
Верхний Уфалей,30504,"Верхний Уфалей — город в Челябинской области,  Россия. Административный центр Верхнеуфалейского городского округа. Население составляет 27 879[1] чел. (2017)."
Малоярославец,30401,"Малоярославец — город на правом берегу реки Лужи (бассейн Оки), в 61 км к северо-востоку от Калуги. Административный центр Малоярославецкого района Калужской области. Город воинской славы."
Скопин,30374,"Скопин — город в Рязанской области, административный центр Скопинского района, в состав которого не входит, являясь городом областного значения[2][3], образует муниципальное образование городской округ город Скопин.[4]"
Славгород,30370,Славгород — город в Алтайском крае России. Образует городской округ город Славгород.
Мирный,30259,"Мирный — город (с 1966) в Архангельской области Российской Федерации — России, место расположения космодрома Плесецк. Образует муниципальное образование (городской округ) «Мирный» со статусом закрытого административно-территориального образования (ЗАТО) с 1993 года."
Барабинск,30250,"Барабинск — город в России, административный центр Барабинского района Новосибирской области. Железнодорожная станция на Транссибирской магистрали. Барабинск является крупным железнодорожным узлом."
Еманжелинск,30218,"Еманжелинск — город (основан в 1770, статус города с 1951), административный центр Еманжелинского района Челябинской области России. В составе неформальной агломерации «Большой Челябинск»."
Сорочинск,30136,"Сорочинск — город в России, административный центр Сорочинского района Оренбургской области."
Горячий Ключ,30093,Горячий Ключ — город краевого подчинения в Краснодарском крае России. Административный центр муниципального образования город Горячий Ключ. Является одним из старейших на Кавказе бальнеологических курортов (с 1864 года).
Киржач,30044,"Киржач — город (с 1778[3]) во Владимирской области России, административный центр Киржачского района."
Луховицы,29849,"Луховицы — город в России, административный центр города областного подчинения Луховицы с административной территорией (до апреля 2017 года — Луховицкого района)[2][3] и городского округа Луховицы (до января 2017 года — Луховицкого муниципального района)[4] Московской области."
Десногорск,29677,Десногорск — город (1989) областного значения Смоленской области России. Административный центр муниципального образования «город Десногорск» со статусом городского округа.
Сегежа,29660,"Сегежа (карел. Segeža, фин. Sekee, Sekehe, вепс. Segež) — город в Республике Карелия Российской Федерации. Административный центр Сегежского района, образует Сегежское городское поселение."
Аргун,29528,"Аргун (чеч. Орга-ГІала[3], УстаргӀардойн-Эвла[4]) — город в Чеченской Республике Российской Федерации. Город республиканского значения, административный центр и единственный населённый пункт городского округа город Аргун."
Дятьково,29438,"Дятьково — город в России, административный центр Дятьковского района Брянской области."
Кохма,29408,Кохма — город (с 1925[2]) в Ивановской области России. Образует городской округ Кохма[3].
Знаменск,29357,Знаменск — город (с 1962 года) на севере Астраханской области России.
Дедовск,29280,Дедовск — город в городском округе Истра Московской области России. Население — 29 738[1] чел. (2018).
Североуральск,29279,"Североуральск — город в Свердловской области России, административный центр Североуральского городского округа."
Карталы,29136,"Карталы — город в Челябинской области, административный центр Карталинского района. Население — 28 577[2] чел. (2017). Крупный транспортный узел, центр большого сельскохозяйственного района."
Карпинск,29118,Это статья о городе Карпинске. О городском округе Карпинск см. статью «Городской округ Карпинск».
АлуштаОспаривается,29078,"Алзамай — город (с 1955 года) в Нижнеудинском районе Иркутской области России. До 2005 года входил в состав муниципального образования «Город Нижнеудинск», с 2006 года образует Алзамайское муниципальное образование."
Карасук,28929,"Карасук (из тюркских, ср. чулым. карасук, сибтат. қарасу, южноалт. қарасуу, хак. карасуғ — чёрная вода) — город (с 1954 г., р.п. с 1943 г.) в России, административный центр Карасукского района Новосибирской области."
Кировск,28659,Кировск (в 1929—1934 годах — Хибиногорск) — город в Мурманской области России.
Топки,28642,"Топки — город (с 1933) в России, тринадцатый по численности населения и шестнадцатый по площади город в Кемеровской области. Является центром Топкинского муниципального района. Образует Топкинское городское поселение. Входит в состав второй по величине в области Кемеровской агломерации."
Алейск,28528,"Алейск — город (с 1939 г.) в Алтайском крае России. Административный центр Алейского района, в состав которого не входит. Образует городской округ город Алейск."
Кимовск,28493,"Кимовск — город (с 1952[3]) в Тульской области России, административный центр Кимовского района. Образует одноимённое муниципальное образование город Кимовск со статусом городского поселения как единственный населённый пункт в его составе[4]."
Костомукша,28433,"Костомукша  (карел. Koštamuš, фин. Kostamus, вепс. Kostamukš) — город (с 1983) в Республике Карелия Российской Федерации. Образует Костомукшский городской округ."
Дивногорск,28271,Дивногорск — город в Красноярском крае России. Административный центр городского округа город Дивногорск.
Гусев,28260,Гусев (до 1946 — Гумбиннен (нем. Gumbinnen); Гумбине (лит. Gumbinė); Гóмбин (польск. Gąbin); Гумбини (прусск. Gumbinni)) — город в Калининградской области России.
Похвистнево,28181,"Похвистнево — город (с 1947 года) в России, административный центр городского округа Похвистнево и Похвистневского района Самарской области."
Сасово,28117,"Сасово — город (с 1926[2]) в Рязанской области, административный центр Сасовского района, в состав которого не входит, являясь городом областного значения, образует муниципальное образование городской округ город Сасово Рязанской области.[3]"
Сосногорск,27809,"Сосногорск (коми Сӧснагорт) — город (с 1955 г.) в Республике Коми Российской Федерации. Административный центр муниципального района Сосногорск, образует городское поселение «Сосногорск»."
Советская Гавань,27712,"Советская Гавань — город в Хабаровском крае России, единственный населённый пункт Городского поселения «Город Советская Гавань», административный центр Советско-Гаванского района. Расположен на берегу одноимённого залива, являющегося в свою очередь частью Татарского пролива."
Нефтекумск,27700,"Нефтекумск — город[3], административный центр Нефтекумского района (городского округа) Ставропольского края Российской Федерации. Образовывал муниципальное образование городское поселение Город Нефтекумск (упразднено 1 мая 2017 года[4])[5]"
Морозовск,27644,"Морозовск — город (с 1941) в России, административный центр Морозовского района Ростовской области. Административный центр и единственный населённый пункт Морозовского городского поселения Ростовской области."
Полысаево,27624,Полысаево — город (с 30 октября 1989) в Кемеровской области России. Административный центр Полысаевского городского округа.
Дальнереченск,27601,"Дальнереченск — город в Приморском крае России, административный центр Дальнереченского района и Дальнереченского городского округа. Находится недалеко от границы с КНР. Самый северный и старейший город Приморья."
Губаха,27544,"Губаха — город в Пермском крае, административный центр Губахинского городского округа (до 2012 года — Губахинского муниципального района и Губахинского городского поселения)."
БахчисарайОспаривается,27448,Батайск — город областного подчинения в Ростовской области России. Образует муниципальное образование «Город Батайск» со статусом городского округа.
Медногорск,27253,"Медногорск — город в России, в Оренбургской области, один из промышленных центров Оренбургской области."
Октябрьск,27244,"Октябрьск — город в Самарской области России. Город областного значения, образует муниципальное образование городской округ Октябрьск.[2]"
Бутурлиновка,27208,"Бутурлиновка — город (с 1917[2]) в России районного подчинения, административный центр Бутурлиновского района Воронежской области и городского поселения Бутурлиновка."
Янаул,26988,"Янаул (башк. Яңауыл  слушать) — город (с 1991 г., рабочий посёлок с 26 октября 1938 г.) в России, административный центр Янаульского района Республики Башкортостан. Образует муниципальное образование город Янаул со статусом городского поселения как единственный населённый пункт в его составе.[2]"
Лабытнанги,26948,Лабытнанги (хант. лапыт нангк — «семь лиственниц»; нен. Лабытнаӈгыт') — город в Ямало-Ненецком автономном округе России.
Калач-на-Дону,26892,"Калач-на-Дону — город в Волгоградской области, расположенный в излучине Дона, неподалеку от Цимлянского водохранилища в 80 километрах западнее Волгограда. Административный центр Калачёвского района и Калачёвского городского поселения."
Камышлов,26875,"Камышлов — город в Свердловской области России, административный центр Камышловского района, образует муниципальное образование Камышловского городского округа[2] с единственным населённым пунктом в его составе."
Зерноград,26850,"Зерноград — город (с 1951 года) в России, административный центр Зерноградского района и Зерноградского городского поселения Ростовской области. Современное название получил в 1960 году."
Уварово,26829,"Уварово — город (с 1966[3]) в Тамбовской области России. Административный центр Уваровского района, в который не входит, являясь административно-территориальной единицей городом областного значения, образующим одноимённое муниципальное образование городской округ город Уварово[4]. Население — 23 987[2] чел. (2018)."
Заречный,26803,"Заречный — город (с 1992) областного подчинения[2] в Свердловской области России, административный центр городского округа Заречный."
Новоалександровск,26759,Новоалександровск — город[3] в Ставропольском крае России. Административный центр Новоалександровского района (городского округа).
Майский,26755,Майский — город районного значения в Кабардино-Балкарской Республике. Административный центр муниципального образования «Городское поселение Майский» и Майского района.
Тара,26664,"Тара — город в Омской области России, административный центр Тарского района Омской области. Самый северный город и второй по величине город Омской области."
Новопавловск,26556,"Новопавловск — город[3], административный центр Кировского района (городского округа) Ставропольского края Российской Федерации."
Советский,26434,Советский — город в Ханты-Мансийском автономном округе — Югре Тюменской области.
Балабаново,26337,"Балабаново — город (с 1972 года[3]) районного подчинения в Боровском районе Калужской области. Расположен в северной части Калужской области, в 96 км от Москвы по трассе М3."
Родники,26318,"Родники — город (с 1918[2]) в России, административный центр Родниковского района Ивановской области, образует Родниковское городское поселение. Население — 24 662[1] чел. (2017)."
Соль-Илецк,26308,"Соль-Илецк — город в Оренбургской области России, административный центр Соль-Илецкого городского округа."
КрасноперекопскОспаривается,26268,"Краснокамск — город в Пермском крае, административный центр Краснокамского района. Имеет статус городского поселения."
Унеча,26196,"Унеча — город в России, административный центр Унечского района Брянской области. Население — 23 971[1] чел. (2017) (пятый по величине город области). Крупный железнодорожный узел."
Кувандык,26176,"Кувандык — город в России, административный центр Кувандыкского городского округа Оренбургской области. Железнодорожная станция Южно-Уральской железной дороги."
Обь,26137,"Обь — город в Новосибирской области Российской Федерации, центр городского округа город Обь."
Железногорск-Илимский,26134,"Железногорск-Илимский — город (с 1965) в России, административный центр Нижнеилимского района Иркутской области."
Татарск,26114,"Татарск — город (с 27 января 1911 года) в России, административный центр Татарского района Новосибирской области."
Ипатово,26055,Ипатово — город[3] в Ставропольском крае. Административный центр Ипатовского района (городского округа). До 1 мая 2017 года[4] являлся административным центром муниципального образования Городское поселение Ипатово[5].
Семилуки,26025,"Семилуки — город (с 18 ноября 1954 года[3]) в России, административный центр Семилукского района Воронежской области.  Образует муниципальное образование городское поселение город Семилуки как единственный населённый пункт в его составе[4][5]."
Исилькуль,25905,"Исилькуль — город в России, административный центр Исилькульского района Омской области. Самый западный город Сибирского федерального округа. Основан как пристанционный посёлок в 1893 году[2].mw-parser-output .ts-Переход img{margin-left:.285714em}[⇨]."
Озёры,25788,Озёры — город областного подчинения в Московской области России. Административный центр городского округа Озёры. Население — 25 359[1] чел. (2018).
Буй,25763,"Буй — город (с 1536[3]) в Костромской области России. Расположен в 100 км от Костромы. В городе находится административный центр Буйского муниципального района, причём город Буй входит в самостоятельное муниципальное образование в составе Костромской области — городской округ город Буй."
Заводоуковск,25657,"Заводоуковск — город в России, административный центр Заводоуковского городского округа Тюменской области."
Аткарск,25620,"Аткарск — город (с 1780) в России, административный центр Аткарского района Саратовской области. Образует одноимённое муниципальное образование город Аткарск со статусом городского поселения как единственный населённый пункт в его составе[2]."
Асино,25614,"Асино — город (с 1952) в России, административный центр Асиновского района Томской области и Асиновского городского поселения."
Киреевск,25585,"Киреевск — город (с 1956[2]) Тульской области России, административный центр Киреевского района и муниципального образования (городского поселения) «город Киреевск»."
Богородск,25497,"Богородск — город (до 1923 — село[3]) в России, административный центр Богородского муниципального района Нижегородской области. Расположен в 28 км к юго-западу от Нижнего Новгорода, на автомобильной дороге Р125."
Тайга,25330,"Тайга — город областного подчинения в Кемеровской области, административный центр Тайгинского городского округа."
Невьянск,25147,"Невьянск — город (до 1919 частновладельческий посёлок Невьянский Завод) в России, административный центр Невьянского городского округа Свердловской области. Один из старейших городов Урала, центр народного промысла Невьянской иконы. Город широко известен благодаря главной архитектурной достопримечательности Урала — Невьянской наклонной башне."
СакиОспаривается,25146,"Рязань (произношение (инф.)) (до 1778 года — Переяславль-Рязанский) — город в России, административный центр Рязанской области и Рязанского муниципального района. Является одним из крупнейших городов-полумиллионеров страны."
Павловск,25126,"Павловск (до 1711 — Осеред) — город в России, административный центр Павловского района Воронежской области. Образует муниципальное образование городское поселение город Павловск как единственный населённый пункт в его составе[3][4]."
Зея,25042,"Зея — город в Амурской области России, административный центр Зейского района и городского округа город Зея[2]."
Котельнич,24979,Котельнич (сев.-зап. мар. Кӓкшӓр) — город в Кировской области России. Административный центр Котельничского района (в состав которого не входит) и одноимённого муниципального образования со статусом городского округа.[2].
Красноуральск,24973,"Красноуральск — город (с 1932) областного подчинения в Свердловской области, Россия."
Ленск,24955,"Ленск (якут. Лиэнскэй) — город (с 1963) в России, административный центр Ленского района Республики Саха (Якутия), образует городское поселение город Ленск."
Гурьевск,24816,"Гурьевск — город (рабочий посёлок до 4 декабря 1938 года) в России, административный центр Гурьевского района и Гурьевского городского поселения Кемеровской области."
Зарайск,24648,"Зарайск — город в Московской области России, административный центр города областного подчинения Зарайск с административной территорией (до апреля 2017 года — Зарайского района)[2][3] и городского округа Зарайск (до января 2017 года — Зарайского муниципального района)[4]."
